"","GEOID","total","over_200","percent"
"148","06037120107",1004,0,0
"149","06037120108",1217,0,0
"150","06037120300",1403,0,0
"151","06037120400",1972,8,0.405679513184584
"152","06037121010",1249,58,4.64371497197758
"153","06037121020",931,8,0.859291084854995
"154","06037121101",913,17,1.86199342825849
"155","06037121102",756,39,5.15873015873016
"156","06037121210",763,25,3.27653997378768
"157","06037121221",481,12,2.49480249480249
"158","06037121222",1206,22,1.82421227197347
"159","06037121600",809,120,14.8331273176761
"160","06037121801",1112,0,0
"161","06037121802",706,16,2.26628895184136
"162","06037121900",994,0,0
"163","06037122000",1517,64,4.2188529993408
"164","06037122120",1109,7,0.631199278629396
"165","06037122121",707,17,2.4045261669024
"166","06037122122",621,9,1.44927536231884
"167","06037122200",895,24,2.68156424581006
"168","06037122410",1047,0,0
"169","06037122420",1337,27,2.01944652206432
"170","06037123010",1074,21,1.95530726256983
"171","06037123020",738,5,0.677506775067751
"172","06037123103",1522,11,0.722733245729304
"173","06037123104",1572,34,2.16284987277354
"174","06037123203",1024,2,0.1953125
"175","06037123204",1007,0,0
"176","06037123205",705,6,0.851063829787234
"177","06037123206",838,0,0
"178","06037123301",1552,38,2.44845360824742
"179","06037123303",894,20,2.23713646532438
"180","06037123304",1643,9,0.547778454047474
"181","06037123410",1187,20,1.6849199663016
"182","06037123420",1399,36,2.57326661901358
"183","06037123510",1481,44,2.97096556380824
"184","06037123520",897,9,1.00334448160535
"185","06037123601",1884,40,2.12314225053079
"186","06037123602",1322,47,3.55521936459909
"187","06037123700",1438,35,2.43393602225313
"188","06037123800",2265,132,5.82781456953642
"189","06037123901",1559,95,6.09364977549711
"190","06037123902",1082,55,5.08317929759704
"191","06037124000",2021,333,16.4769915883226
"192","06037124102",1282,9,0.702028081123245
"193","06037124103",585,58,9.91452991452991
"194","06037124104",1043,3,0.287631831255992
"195","06037124105",853,14,1.64126611957796
"196","06037124201",1077,0,0
"197","06037124203",842,41,4.86935866983373
"198","06037124204",960,11,1.14583333333333
"199","06037124300",1253,0,0
"200","06037124400",1594,139,8.72020075282309
"201","06037124500",1234,114,9.23824959481361
"202","06037124600",1397,129,9.23407301360057
"203","06037124700",1985,272,13.7027707808564
"204","06037124902",1521,33,2.16962524654832
"205","06037124903",1608,0,0
"206","06037125100",2693,376,13.9621240252506
"207","06037125200",1731,52,3.00404390525708
"208","06037125310",1799,32,1.77876598110061
"209","06037125320",2482,24,0.96696212731668
"210","06037125401",2132,39,1.82926829268293
"211","06037125402",1910,131,6.8586387434555
"212","06037125501",1559,35,2.24502886465683
"213","06037125502",1637,75,4.58155161881491
"214","06037125600",1181,86,7.28196443691787
"215","06037127102",1513,29,1.91672174487773
"216","06037127103",1068,0,0
"217","06037127104",1246,30,2.40770465489567
"218","06037127210",1828,47,2.57111597374179
"219","06037127220",1651,23,1.3930950938825
"220","06037127300",1587,10,0.630119722747322
